Actif végétal,Spécialité,"Commentaire, indications",Galénique
,,,
Aloé vera,Embryolisse: Lait doux démaquillant waterproof,,Lait
,Embryolisse: Lait-crème concentré,,Crème
,Endro: Lait corps hydratant,,Lait
,Pranarom: Gel Aloé Vera,"Base de mélange d’huiles essentielles, anti-irritant",Gel
,,,
Bakuchiol,Avène DermAbsolu,Esthétique,Serum
,Dr Scheller: Sérum Régénérant,"astringent, lissant",Serum
,Etat Pur: Bakuchiol 0.5%,Anti-rides,
,,,
Centella,Typology: C94,"Cicatrisation, peau sèche",Baume
,Madecassol 1%,Ulcérations cutanées,Crème
,Cytolnat centella,,Crème
,Erborian Centella Cream,,Crème
,SKIN1004 Madagascar Centella,Application contour des yeux,Crème
,Cicaplast,Cicatrisation des plaies,
,Cicabio,Peau irritée,
,,,
Bisabolol,Endro: Lait corps hydratant,Peau mature sèche,Lait
,Neutrogena: Pieds secs/abîmés,Callosités aux pieds,Baume
,Typology: C93,Eczema,Crème
,Pavy: Nettoyant Intime,"hygiène intime des femmes en ménopause, en thérapie hormonale, ou prenant des contraceptifs oraux",
,,,
Nigelle,Florihana,Huile pure d’origine biologique,Huile
,EvadéSens Nigelle d’Egypte,"Gamme de serum, masque, et crème",Huile
,Exode: Crème visage,,Huile
,Pranarom: Huile de Nigelle,,Huile
